Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,PlayerAdditional
142,Corbin Carroll,23,ARI,NL,1.3,119,507,442,85,97,16,11,12,48,21,6,53,92,.219,.309,.387,.696,94,.313,94,171,3,6,2,4,0,89/H,0,carroco02
143,Michael Conforto,31,SFG,NL,1.1,98,367,325,38,77,22,3,12,50,0,1,36,88,.237,.319,.434,.753,115,.327,114,141,10,4,0,2,1,7H/D,0,confomi01
144,Yainer Diaz,25,HOU,AL,2.3,110,454,427,50,126,21,3,12,67,1,0,18,72,.295,.322,.443,.764,115,.334,115,189,16,2,0,7,1,2D/H3,0,diazya02
145,David Fry,28,CLE,AL,1.3,95,325,276,38,74,14,0,12,42,4,1,36,68,.268,.367,.449,.817,128,.358,129,124,12,9,0,3,4,D2H73/59,AS,fryda01
146,Mitch Garver,33,SEA,AL,-0.2,97,369,312,33,52,15,0,12,38,0,0,49,116,.167,.287,.330,.617,81,.279,84,103,7,5,0,3,0,D2/H,0,garvemi01
147,J.D. Martinez,36,NYM,NL,1.2,91,383,332,36,86,21,1,12,55,0,0,40,107,.259,.346,.437,.782,123,.344,124,145,11,5,0,2,0,D/H,0,martijd02
148,Jeff McNeil,32,NYM,NL,1.3,114,420,384,52,92,24,0,12,40,5,1,26,57,.240,.296,.396,.692,97,.306,96,152,5,6,1,3,0,497/H,0,mcneije01
149,Jake Meyers,28,HOU,AL,1.5,112,390,354,38,81,15,3,12,50,9,3,25,92,.229,.291,.390,.681,92,.300,90,138,9,7,2,2,0,8/H7D,0,meyerja02
150,Ryan O'Hearn,30,BAL,AL,1.9,105,374,330,49,92,15,3,12,48,3,1,39,47,.279,.356,.452,.807,132,.355,135,149,4,2,0,3,2,D3H9/7,0,ohearry01
151,Jeremy Peña,26,HOU,AL,2.9,119,496,458,61,128,20,1,12,56,13,5,20,83,.279,.324,.406,.730,106,.323,107,186,10,12,2,4,0,6,0,penaje02
152,Jorge Polanco,30,SEA,AL,0.7,83,331,293,34,63,7,0,12,32,3,2,34,101,.215,.302,.362,.664,94,.293,95,106,9,3,0,1,1,4/HD,0,polanjo01
153,Nolan Schanuel,22,LAA,AL,1.0,113,471,401,50,98,13,0,12,41,4,1,54,78,.244,.340,.367,.707,98,.319,100,147,10,7,3,5,0,3/HD,0,schanno01
154,Josh Smith,26,TEX,AL,3.3,116,455,395,53,106,23,1,12,51,7,1,39,89,.268,.358,.423,.780,122,.346,123,167,5,17,2,2,1,56H/D74,0,smithjo11
155,Orlando Arcia,29,ATL,NL,0.5,117,447,411,34,93,19,0,11,34,0,0,27,93,.226,.274,.353,.626,72,.279,69,145,14,2,1,6,1,6,0,arciaor01
156,Joey Bart,27,PIT,NL,1.9,54,186,165,24,45,6,0,11,33,0,0,17,50,.273,.349,.509,.859,139,.373,141,84,6,3,0,1,0,2/DH,0,bartjo01
157,Kerry Carpenter,26,DET,AL,1.4,54,179,161,24,46,10,4,11,34,0,1,11,45,.286,.339,.602,.941,156,.387,153,97,2,3,0,2,1,9DH/7,0,carpeke01
158,Mitch Haniger,33,SEA,AL,-0.3,103,369,330,37,68,12,0,11,43,0,0,36,107,.206,.287,.342,.630,84,.285,88,113,8,2,0,1,0,9DH,0,hanigmi01
159,Jonah Heim,29,TEX,AL,1.5,102,386,359,37,82,9,0,11,49,1,1,23,70,.228,.277,.345,.623,77,.277,77,124,9,2,0,2,0,2/DH,0,heimjo01
160,Jonathan India,27,CIN,NL,1.4,113,473,399,63,100,24,1,11,45,10,1,60,100,.251,.356,.398,.754,109,.344,113,159,10,8,1,5,0,4D,0,indiajo01
161,Colt Keith,22,DET,AL,0.1,111,417,386,43,96,11,3,11,43,6,1,28,74,.249,.302,.378,.680,89,.305,90,146,4,2,0,1,1,4/DH,0,keithco01
162,Ha-Seong Kim,28,SDP,NL,2.7,119,464,397,60,91,15,3,11,47,22,5,58,77,.229,.328,.365,.694,97,.316,97,145,8,2,4,3,4,6/H,0,kimha01
163,Trevor Larnach,27,MIN,AL,0.6,79,283,252,38,61,10,0,11,35,4,0,27,58,.242,.318,.413,.731,103,.325,103,104,12,2,0,2,0,D7/H9,0,larnatr01
164,Brandon Marsh,26,PHI,NL,2.7,100,352,311,40,75,10,3,11,44,14,3,36,116,.241,.318,.399,.717,101,.327,104,124,2,1,0,4,0,78H/9,0,marshbr02
165,Hunter Renfroe,32,KCR,AL,-0.2,98,347,313,36,71,17,0,11,44,1,1,31,63,.227,.300,.387,.686,89,.305,90,121,7,2,0,1,0,9/HD,0,renfrhu01
166,Julio Rodríguez,23,SEA,AL,2.1,104,429,400,45,106,11,0,11,38,18,4,24,118,.265,.315,.375,.690,102,.311,103,150,4,5,0,0,0,8/DH,0,rodriju01
167,Keibert Ruiz,25,WSN,NL,0.4,94,354,335,34,76,12,0,11,42,1,1,11,37,.227,.260,.361,.621,77,.269,72,121,8,5,0,3,0,2/DH,0,ruizke01
168,Anthony Volpe,23,NYY,AL,2.9,122,547,506,75,125,23,7,11,46,20,5,33,123,.247,.298,.385,.683,89,.306,88,195,7,4,2,1,0,6,0,volpean01
169,Jesse Winker,30,2TM,NL,2.1,114,423,357,54,93,20,0,11,47,14,4,55,92,.261,.368,.409,.777,124,.351,129,146,10,7,2,2,2,7DH9,0,winkeje01
170,Jesse Winker,30,WSN,NL,2.0,101,379,315,51,81,18,0,11,45,14,4,53,84,.257,.374,.419,.793,129,.358,134,132,9,7,2,2,2,7D/H9,0,winkeje01
171,Jesse Winker,30,NYM,NL,0.0,13,44,42,3,12,2,0,0,2,0,0,2,8,.286,.318,.333,.652,88,.292,87,14,1,0,0,0,0,/97HD,0,winkeje01
172,Connor Wong,28,BOS,AL,1.8,94,371,339,48,100,14,1,11,44,6,6,21,86,.295,.350,.440,.790,117,.338,115,149,2,9,0,2,1,23/HD4,0,wongco01
173,Christian Yelich,32,MIL,NL,2.2,73,315,270,44,85,12,3,11,42,21,1,40,58,.315,.406,.504,.909,152,.405,151,136,3,2,1,1,3,7D,AS,yelicch01
174,Ty France,29,2TM,2LG,0.3,102,388,346,33,78,17,0,11,34,0,1,29,90,.225,.307,.370,.677,96,.307,103,128,11,12,0,1,0,3/DH4,0,francty01
175,Ty France,29,SEA,AL,0.0,88,340,300,28,67,14,0,8,31,0,1,28,83,.223,.312,.350,.662,94,.299,100,105,11,11,0,1,0,3/H4D,0,francty01
176,Ty France,29,CIN,NL,0.2,14,48,46,5,11,3,0,3,3,0,0,1,7,.239,.271,.500,.771,108,.364,131,23,0,1,0,0,0,3/D,0,francty01
177,Jake Bauers,28,MIL,NL,0.0,88,267,232,36,48,9,2,10,38,8,1,30,88,.207,.311,.392,.703,95,.314,92,91,0,5,0,0,1,3H9/7D1,0,bauerja01
178,Seth Brown,31,OAK,AL,-0.3,86,272,252,22,54,9,0,10,28,4,1,18,83,.214,.272,.369,.641,83,.284,82,93,3,2,0,0,0,793H/D,0,brownse01
179,Willi Castro,27,MIN,AL,1.9,121,492,437,70,112,27,5,10,45,12,7,39,120,.256,.337,.410,.747,108,.337,115,179,6,15,0,1,0,64578/H1,AS,castrwi01
180,Yandy Díaz,32,TBR,AL,0.9,112,492,450,44,121,23,1,10,52,0,0,37,77,.269,.325,.391,.716,105,.321,108,176,9,2,0,3,0,3D/H,0,diazya01
181,Adam Duvall,35,ATL,NL,-1.5,94,318,293,27,52,10,0,10,29,0,0,20,98,.177,.239,.314,.553,52,.254,51,92,6,4,0,1,0,79H,0,duvalad01
182,Korey Lee,25,CHW,AL,0.1,97,304,291,30,63,11,1,10,28,5,3,13,94,.216,.250,.364,.614,71,.271,70,106,6,0,0,0,0,2H/D,0,leeko01
183,Nathaniel Lowe,28,TEX,AL,1.8,101,410,353,46,91,12,1,10,48,2,0,53,89,.258,.354,.382,.736,111,.334,116,135,8,1,0,3,0,3/HD,0,lowena01
184,Michael Massey,26,KCR,AL,1.1,63,233,218,34,56,11,2,10,35,0,0,7,36,.257,.281,.463,.745,102,.322,102,101,7,2,2,4,1,4D/H,0,massemi02
185,Brendan Rodgers,27,COL,NL,1.3,104,415,386,52,108,23,1,10,44,1,0,25,93,.280,.325,.422,.748,102,.330,101,163,9,2,0,2,1,4/DH,0,rodgebr02
186,Davis Schneider,25,TOR,AL,0.0,104,360,312,39,64,18,0,10,37,4,0,39,106,.205,.297,.359,.656,86,.292,84,112,1,4,0,5,0,74/H,0,schneda03
187,Jon Singleton,32,HOU,AL,0.3,93,324,286,39,68,7,0,10,30,0,0,36,89,.238,.321,.367,.688,96,.312,100,105,2,0,0,2,0,3H/D,0,singljo02
188,Gleyber Torres,27,NYY,AL,0.0,116,485,428,50,102,19,0,10,45,4,3,45,103,.238,.311,.353,.663,86,.297,86,151,6,3,2,7,0,4/H,0,torregl01
189,Mike Trout,32,LAA,AL,1.0,29,126,109,17,24,1,2,10,14,6,1,16,27,.220,.325,.541,.867,137,.370,132,59,0,1,0,0,1,8/D,0,troutmi01
190,Alex Verdugo,28,NYY,AL,0.5,118,504,451,61,106,27,1,10,53,1,1,41,77,.235,.294,.366,.660,84,.291,81,165,11,1,1,10,0,7/98,0,verdual01
191,Masyn Winn,22,STL,NL,3.8,113,466,426,57,117,22,4,10,42,10,5,33,77,.275,.325,.415,.741,105,.320,100,177,1,1,2,4,1,6/HD,0,winnma01
192,Eddie Rosario,32,2TM,NL,-1.5,91,319,297,33,52,12,0,10,35,9,1,16,77,.175,.215,.316,.531,49,.241,45,94,4,0,2,4,0,79D8/H,0,rosared01
193,Eddie Rosario,32,WSN,NL,-1.1,67,235,219,26,40,11,0,7,26,8,1,13,54,.183,.226,.329,.555,58,.255,57,72,4,0,1,2,0,97D8/H,0,rosared01
194,Eddie Rosario,32,ATL,NL,-0.4,24,84,78,7,12,1,0,3,9,1,0,3,23,.154,.181,.282,.463,26,.202,11,22,0,0,1,2,0,7/H,0,rosared01
195,J.P. Crawford,29,SEA,AL,1.5,77,335,294,42,60,13,1,9,32,5,0,38,76,.204,.299,.347,.645,89,.291,90,102,1,2,0,1,0,6/H,0,crawfjp01
196,Brendan Donovan,27,STL,NL,1.2,115,496,445,48,120,27,1,9,54,3,3,35,63,.270,.337,.396,.732,103,.324,103,176,3,12,0,4,0,74/5D9H,0,donovbr01
197,Thairo Estrada,28,SFG,NL,-0.6,87,346,329,41,71,14,2,9,43,1,2,10,67,.216,.249,.353,.601,71,.265,70,116,8,5,0,2,0,4/DH,0,estrath01
198,TJ Friedl,28,CIN,NL,0.2,46,188,163,22,37,3,0,9,33,6,0,15,33,.227,.319,.411,.730,101,.332,102,67,0,8,0,2,0,8/HD,0,friedtj01
199,José Miranda,26,MIN,AL,2.5,92,335,311,39,96,26,2,9,46,2,1,16,48,.309,.349,.492,.841,132,.366,135,153,9,5,0,3,1,5D/H3,0,miranjo01
200,Dylan Moore,31,SEA,AL,1.7,101,357,302,38,61,19,4,9,36,22,4,38,99,.202,.312,.381,.693,102,.317,105,115,7,12,1,4,0,6547/H3,0,mooredy01
201,Max Muncy,33,LAD,NL,1.3,40,167,139,24,31,8,0,9,28,0,0,21,50,.223,.323,.475,.798,123,.335,114,66,1,2,0,5,2,5/H,0,muncyma01
202,Bo Naylor,24,CLE,AL,0.5,91,292,266,33,53,10,2,9,33,4,1,22,93,.199,.261,.353,.615,71,.273,68,94,2,1,1,2,1,2H/D,0,naylobo01
203,Jhonkensy Noel,22,CLE,AL,0.5,34,98,90,11,22,3,0,9,17,0,0,5,31,.244,.296,.578,.874,137,.362,132,52,0,2,0,1,0,9/H37D,0,noeljh01
204,Andy Pages,23,LAD,NL,0.6,97,391,355,54,88,22,1,9,36,1,2,26,98,.248,.307,.392,.698,96,.306,95,139,7,6,0,4,0,89/HD,0,pagesan01
205,Wenceel Pérez,24,DET,AL,0.5,97,378,347,49,84,13,5,9,32,9,4,27,76,.242,.298,.386,.684,90,.302,89,134,5,1,2,1,0,98H/7D,0,perezwe01
206,Jake Rogers,29,DET,AL,0.5,73,248,231,33,45,11,1,9,30,1,0,13,74,.195,.242,.368,.610,67,.270,66,85,5,2,0,2,0,2/DH,0,rogerja03
207,Jack Suwinski,25,PIT,NL,-1.7,88,277,247,29,45,8,0,9,26,9,1,27,79,.182,.264,.324,.588,65,.278,68,80,3,1,1,1,2,879H,0,suwinja01
208,Dansby Swanson,30,CHC,NL,1.5,112,434,391,45,89,17,2,9,41,10,3,38,109,.228,.297,.350,.648,81,.289,77,137,5,2,0,3,2,6/H,0,swansda01
209,Leody Taveras,25,TEX,AL,0.5,116,414,374,44,87,14,3,9,35,14,5,33,82,.233,.292,.358,.650,85,.292,85,134,6,0,3,4,0,8/HD,0,taverle01
210,Rowdy Tellez,29,PIT,NL,-0.3,103,329,300,31,74,14,0,9,39,1,0,22,73,.247,.298,.383,.681,91,.303,90,115,11,2,0,5,0,3H,0,tellero01
211,Austin Wells,24,NYY,AL,2.4,83,292,249,32,64,13,1,9,36,1,0,35,58,.257,.347,.426,.773,115,.341,116,106,3,2,1,5,0,2H/D,0,wellsau01
212,Mike Yastrzemski,33,SFG,NL,1.8,104,340,308,41,75,11,9,9,38,3,1,26,92,.244,.310,.425,.735,109,.318,106,131,5,4,1,1,1,9H/81,0,yastrmi01
213,Ozzie Albies,27,ATL,NL,1.3,90,394,361,47,93,28,1,8,46,8,1,24,61,.258,.310,.407,.717,97,.319,95,147,4,5,0,4,0,4,0,albieoz01
214,Harrison Bader,30,NYM,NL,1.1,104,349,323,48,85,18,0,8,41,15,8,16,74,.263,.307,.393,.700,99,.306,98,127,5,6,0,4,1,8/HD,0,baderha01
215,Charlie Blackmon,37,COL,NL,0.3,92,372,336,47,86,19,3,8,40,5,2,31,63,.256,.328,.402,.730,97,.323,96,135,3,5,0,0,2,D9/H,0,blackch02
216,Will Brennan,26,CLE,AL,-0.2,84,272,252,31,64,8,2,8,26,3,1,16,35,.254,.305,.397,.702,95,.310,95,100,7,3,0,1,2,97/DH8,0,brennwi02
217,José Caballero,27,TBR,AL,1.7,103,365,332,46,78,18,1,8,32,32,13,20,102,.235,.290,.367,.658,87,.303,93,122,6,7,3,3,0,654/H,0,cabaljo01
218,Oswaldo Cabrera,25,NYY,AL,1.2,88,280,258,39,64,9,0,8,35,4,2,17,53,.248,.294,.376,.670,86,.303,90,97,5,1,1,3,0,54/H36791,0,cabreos01
219,Santiago Espinal,29,CIN,NL,0.3,80,255,231,23,57,7,0,8,32,8,0,15,31,.247,.291,.381,.672,85,.301,80,88,4,1,4,4,1,54H/7D6,0,espinsa01
220,Stuart Fairchild,28,CIN,NL,1.0,87,224,201,31,44,8,0,8,29,13,1,17,54,.219,.291,.378,.670,84,.321,92,76,1,4,1,1,0,8H9/D7,0,faircst01
221,Hunter Goodman,24,COL,NL,-0.9,54,169,158,17,28,7,0,8,24,1,1,6,49,.177,.219,.373,.592,57,.250,45,59,4,3,0,2,0,92D/H73,0,goodmhu01
222,Nick Gordon,28,MIA,NL,-1.7,95,275,260,29,59,11,1,8,32,5,5,11,67,.227,.258,.369,.627,69,.264,59,96,5,1,0,3,0,7H8/49D,0,gordoni01
223,Max Kepler,31,MIN,AL,1.4,95,362,332,41,88,20,1,8,41,1,0,21,74,.265,.316,.404,.719,100,.331,109,134,3,5,0,3,0,9H/D,0,keplema01
224,Gavin Lux,26,LAD,NL,1.5,104,370,339,42,85,16,2,8,43,4,2,28,81,.251,.311,.381,.691,95,.308,95,129,6,2,0,1,0,4H/6,0,luxga01
225,Justyn-Henry Malloy,24,DET,AL,-0.1,56,200,176,16,38,5,1,8,20,1,1,21,72,.216,.305,.392,.697,93,.304,91,69,2,2,0,1,0,D7/H9,0,malloju02
226,Mickey Moniak,26,LAA,AL,-0.4,98,326,308,36,69,14,2,8,36,6,3,16,85,.224,.264,.360,.624,73,.272,67,111,2,1,0,1,0,89/HD7,0,moniami01
227,Joey Ortiz,25,MIL,NL,2.1,102,366,313,43,78,17,4,8,40,6,4,45,70,.249,.348,.406,.754,110,.331,109,127,3,4,1,3,0,5/H46,0,ortizjo06
228,J.T. Realmuto,33,PHI,NL,1.8,70,303,277,37,70,11,1,8,26,1,2,21,72,.253,.314,.386,.700,96,.311,99,107,4,4,0,1,1,2,0,realmjt01
229,Anthony Rizzo,34,NYY,AL,-0.6,70,291,264,32,59,7,0,8,28,0,0,19,48,.223,.289,.341,.630,76,.291,81,90,6,6,0,2,0,3,0,rizzoan01
230,Gary Sánchez,31,MIL,NL,0.3,64,200,175,22,42,6,0,8,28,0,0,18,51,.240,.325,.411,.736,104,.327,105,72,6,5,0,2,0,D2H/3,0,sanchga02
231,Gavin Sheets,28,CHW,AL,-0.9,108,392,350,30,81,24,1,8,37,1,2,36,84,.231,.309,.374,.683,93,.301,92,131,3,4,0,2,1,9D3H,0,sheetga01
232,Bryson Stott,26,PHI,NL,2.0,112,433,380,52,89,14,2,8,45,25,2,43,67,.234,.312,.345,.657,85,.306,85,131,7,3,0,7,1,46H/D,0,stottbr01
233,Lane Thomas,28,2TM,2LG,0.0,91,395,348,47,81,18,3,8,40,29,12,37,93,.233,.314,.371,.685,96,.313,101,129,5,6,0,4,0,98/DH,0,thomala02
234,Lane Thomas,28,WSN,NL,0.7,77,341,300,42,76,16,3,8,40,28,12,32,72,.253,.331,.407,.738,112,.334,118,122,4,5,0,4,0,9/8D,0,thomala02
235,Lane Thomas,28,CLE,AL,-0.7,14,54,48,5,5,2,0,0,0,1,0,5,21,.104,.204,.146,.350,1,.175,-4,7,1,1,0,0,0,/89HD,0,thomala02
236,Jose Trevino,31,NYY,AL,1.0,60,190,171,22,42,5,0,8,27,1,0,14,32,.246,.307,.415,.722,100,.317,99,71,11,2,1,2,0,2/H1,0,trevijo01
237,Nelson Velázquez,25,KCR,AL,-0.7,64,230,205,31,41,8,1,8,27,2,0,19,61,.200,.274,.366,.640,76,.284,73,75,6,3,0,3,0,D97/H,0,velazne01
238,Masataka Yoshida,30,BOS,AL,1.3,73,295,261,35,76,12,0,8,43,0,0,22,40,.291,.366,.429,.795,119,.354,124,112,3,10,0,2,0,D/H7,0,yoshima02
239,Carson Kelly,29,2TM,AL,0.7,69,233,207,26,52,5,1,8,33,0,0,19,45,.251,.330,.401,.731,104,.320,102,83,3,6,0,1,0,2/HD,0,kellyca02
240,Carson Kelly,29,DET,AL,0.7,60,203,179,21,43,4,1,7,29,0,0,17,40,.240,.325,.391,.716,100,.315,98,70,3,6,0,1,0,2/HD,0,kellyca02
241,Carson Kelly,29,TEX,AL,0.0,9,30,28,5,9,1,0,1,4,0,0,2,5,.321,.367,.464,.831,136,.353,130,13,0,0,0,0,0,/2,0,kellyca02
242,Danny Jansen,29,2TM,AL,1.1,70,256,222,31,50,13,0,8,23,0,0,29,46,.225,.316,.392,.708,100,.313,100,87,1,2,0,3,0,2H/D,0,janseda01
243,Danny Jansen,29,TOR,AL,0.7,61,228,198,27,42,13,0,6,18,0,0,25,42,.212,.303,.369,.671,90,.299,90,73,1,2,0,3,0,2/HD,0,janseda01
244,Danny Jansen,29,BOS,AL,0.4,9,28,24,4,8,0,0,2,5,0,0,4,4,.333,.429,.583,1.012,176,.430,178,14,0,0,0,0,0,/2HD,0,janseda01
245,Patrick Bailey,25,SFG,NL,1.5,94,358,319,37,76,13,1,7,38,3,0,32,76,.238,.303,.351,.654,88,.293,87,112,7,0,1,6,0,2H/D,0,bailepa01
246,Luis Campusano,25,SDP,NL,-0.1,80,263,248,30,58,13,0,7,37,0,0,14,36,.234,.274,.371,.645,81,.287,80,92,11,0,0,1,0,2H/3,0,campulu01
247,Mark Canha,35,2TM,2LG,0.5,102,412,350,44,83,18,0,7,41,4,0,45,87,.237,.340,.349,.688,94,.319,100,122,9,12,0,5,2,3D79/H,0,canhama01
248,Mark Canha,35,DET,AL,0.5,93,377,320,42,74,17,0,7,38,4,0,42,79,.231,.337,.350,.687,93,.319,99,112,9,11,0,4,2,3D79/H,0,canhama01
249,Mark Canha,35,SFG,NL,0.0,9,35,30,2,9,1,0,0,3,0,0,3,8,.300,.371,.333,.705,106,.315,104,10,0,1,0,1,0,/3D9H,0,canhama01
250,Dominic Canzone,26,SEA,AL,0.4,60,172,154,19,32,7,0,7,14,1,0,17,50,.208,.285,.390,.674,96,.300,98,60,4,0,0,1,2,97/HD,0,canzodo01
251,Trent Grisham,27,NYY,AL,0.3,65,186,156,19,30,8,0,7,24,1,1,22,46,.192,.304,.378,.683,90,.312,97,59,5,4,1,2,1,8/HD,0,grishtr01
252,Ernie Clement,28,TOR,AL,2.8,100,303,290,32,80,16,2,7,36,8,3,7,22,.276,.296,.417,.713,100,.322,106,121,6,2,2,2,1,5H6/4D17,0,clemeer01
253,Tyler Freeman,25,CLE,AL,0.7,102,360,311,46,66,14,1,7,32,10,6,27,49,.212,.305,.331,.637,79,.290,82,103,15,16,3,3,1,8H/456,0,freemty01
254,David Hamilton,26,BOS,AL,2.3,89,288,267,42,68,17,1,7,26,31,4,20,74,.255,.309,.404,.714,95,.335,96,108,1,1,0,0,0,64H,0,hamilda03
255,Kiké Hernández,32,LAD,NL,0.5,96,311,283,31,61,13,0,7,29,0,0,25,64,.216,.277,.336,.612,73,.279,74,95,11,0,0,3,0,5H7/68341D,0,hernaen02
256,Kyle Isbel,27,KCR,AL,1.4,100,319,289,48,67,7,7,7,32,8,2,20,59,.232,.288,.377,.665,83,.302,84,109,4,3,6,1,0,8/H,0,isbelky01
257,Connor Joe,31,PIT,NL,0.6,99,350,312,43,73,19,1,7,31,2,1,31,72,.234,.314,.369,.683,92,.306,92,115,7,6,0,1,1,39H/7D,0,joeco01
258,Edouard Julien,25,MIN,AL,0.5,64,212,184,25,37,6,0,7,17,6,0,27,76,.201,.307,.348,.654,83,.304,86,64,1,1,0,0,0,4H,0,julieed01
259,Isiah Kiner-Falefa,29,2TM,2LG,3.5,94,334,307,35,88,11,4,7,37,6,1,14,47,.287,.332,.417,.749,111,.334,113,128,10,8,3,2,0,456/H18,0,kineris01
260,Isiah Kiner-Falefa,29,TOR,AL,3.1,82,281,257,32,75,8,2,7,33,3,1,13,37,.292,.338,.420,.758,114,.337,117,108,9,6,3,2,0,456/H18,0,kineris01
261,Isiah Kiner-Falefa,29,PIT,NL,0.4,12,53,50,3,13,3,2,0,4,3,0,1,10,.260,.302,.400,.702,96,.318,91,20,1,2,0,0,0,4/6,0,kineris01
262,Wyatt Langford,22,TEX,AL,1.1,97,401,361,44,87,17,4,7,49,11,3,35,83,.241,.309,.368,.678,93,.299,90,133,5,2,0,3,3,7D/8,0,langfwy01
263,Josh Lowe,26,TBR,AL,0.6,65,233,213,24,51,15,0,7,25,15,1,19,69,.239,.300,.408,.709,101,.320,98,87,1,0,0,1,2,9/DH78,0,lowejo01
264,Starling Marte,35,NYM,NL,0.4,66,266,245,38,68,9,2,7,30,12,0,17,56,.278,.328,.416,.745,112,.345,117,102,6,2,1,1,0,9/DH,0,martest01
265,Sean Murphy,29,ATL,NL,1.2,48,178,158,12,36,4,1,7,16,0,0,18,43,.228,.315,.399,.713,96,.326,103,63,5,2,0,0,1,2/H,0,murphse01
266,Lars Nootbaar,26,STL,NL,0.8,70,263,230,21,52,10,1,7,23,5,0,31,57,.226,.317,.370,.686,91,.310,89,85,5,0,1,1,1,987/H,0,nootbla01
267,Rob Refsnyder,33,BOS,AL,1.0,73,251,218,27,65,15,1,7,32,2,2,26,62,.298,.384,.472,.856,135,.365,133,103,4,5,0,1,2,79HD,0,refsnro01
268,Ben Rice,25,NYY,AL,-0.1,41,155,131,19,25,6,0,7,22,0,1,19,39,.191,.290,.397,.687,90,.305,93,52,1,1,0,4,0,3/H2,0,ricebe01
269,Nick Senzel,29,2TM,2LG,-1.1,73,264,233,25,46,11,0,7,18,1,3,28,60,.197,.286,.335,.621,78,.275,78,78,6,1,1,0,1,5D/H9,0,senzeni01
270,Nick Senzel,29,WSN,NL,-0.6,64,235,206,25,43,10,0,7,18,1,3,27,53,.209,.303,.359,.663,91,.292,92,74,6,1,0,0,1,5D/H,0,senzeni01
271,Nick Senzel,29,CHW,AL,-0.6,9,29,27,0,3,1,0,0,0,0,0,1,7,.111,.143,.148,.291,-17,.133,-34,4,0,0,1,0,0,/59DH,0,senzeni01
272,Tyler Soderstrom,22,OAK,AL,-0.2,49,166,146,12,32,6,0,7,20,0,0,16,45,.219,.307,.404,.711,103,.314,104,59,7,3,0,1,1,3/H2,0,soderty01
273,Jacob Stallings,34,COL,NL,1.5,65,220,188,24,49,12,1,7,29,0,0,23,47,.261,.361,.447,.808,118,.356,120,84,10,7,1,1,1,2/HD,0,stallja01
274,Brice Turang,24,MIL,NL,4.0,117,468,421,55,108,17,3,7,50,37,5,37,81,.257,.317,.361,.679,89,.320,90,152,7,2,5,3,0,4/HD,0,turanbr02
275,Ramón Urías,30,BAL,AL,0.5,79,227,205,24,50,7,1,7,25,0,1,18,41,.244,.313,.390,.703,102,.308,103,80,0,3,0,1,0,5/HD34,0,uriasra01
276,Christian Vázquez,33,MIN,AL,0.6,69,238,220,22,50,9,0,7,24,3,1,9,47,.227,.256,.364,.620,71,.282,73,80,9,1,4,4,0,2/5D,0,vazquch01
277,Matt Wallner,26,MIN,AL,1.7,40,128,104,17,28,10,1,7,20,2,0,15,51,.269,.398,.587,.985,171,.419,170,61,0,8,0,1,0,7/9DH1,0,wallnma01
278,Kevin Pillar,35,2TM,AL,0.5,80,245,225,30,59,14,1,7,40,9,3,10,46,.262,.311,.427,.738,104,.323,102,96,7,7,1,2,0,8H79/D,0,pillake01
279,Kevin Pillar,35,CHW,AL,-0.1,17,32,25,1,4,2,0,1,4,2,0,4,8,.160,.290,.360,.650,83,.302,80,9,0,1,1,1,0,/H89D,0,pillake01
280,Kevin Pillar,35,LAA,AL,0.6,63,213,200,29,55,12,1,6,36,7,3,6,38,.275,.315,.435,.750,107,.326,106,87,7,6,0,1,0,87H/9D,0,pillake01
281,Justin Turner,39,2TM,AL,0.3,102,395,340,41,85,18,0,7,40,0,2,42,73,.250,.347,.365,.712,104,.317,106,124,16,10,0,3,0,D3/H5,0,turneju01
282,Justin Turner,39,TOR,AL,0.4,90,348,300,37,77,17,0,6,31,0,2,39,60,.257,.351,.373,.724,107,.321,109,112,15,6,0,3,0,D3/H5,0,turneju01
283,Justin Turner,39,SEA,AL,-0.1,12,47,40,4,8,1,0,1,9,0,0,3,13,.200,.319,.300,.619,84,.288,91,12,1,4,0,0,0,/3D5H,0,turneju01
284,Tommy Pham,36,2TM,2LG,0.0,84,350,318,40,84,17,2,7,29,6,3,30,72,.264,.331,.396,.728,105,.330,111,126,3,2,0,0,0,987/HD,0,phamth01
285,Tommy Pham,36,CHW,AL,-0.3,70,297,271,33,72,14,1,5,19,6,3,25,63,.266,.330,.380,.710,101,.326,109,103,2,1,0,0,0,987/HD,0,phamth01
286,Tommy Pham,36,STL,NL,0.3,14,53,47,7,12,3,1,2,10,0,0,5,9,.255,.340,.489,.829,128,.355,125,23,1,1,0,0,0,/79HD,0,phamth01
287,Javier Báez,31,DET,AL,-1.1,77,278,261,25,49,12,0,6,37,8,1,12,63,.188,.227,.303,.529,47,.241,41,79,10,2,0,3,1,6/H,0,baezja01
288,Xander Bogaerts,31,SDP,NL,0.9,73,312,292,38,78,11,1,6,25,6,0,17,55,.267,.308,.373,.681,92,.309,93,109,7,1,0,2,0,4/D6,0,bogaexa01
289,Victor Caratini,30,HOU,AL,1.0,53,154,138,17,37,5,1,6,20,0,0,10,25,.268,.325,.449,.774,117,.338,118,62,4,3,0,3,0,2H/3D,0,caratvi01
